country,life_satisfaction,years_in_education
Australia,7.2,21
Austria,7.3,17
Belgium,6.8,20
Canada,7,17
Czech Republic,6.9,18
Denmark,7.6,20
Finland,8.1,20
France,6.7,17
Germany,7.3,18
Greece,5.6,19
Hungary,5.8,17
Iceland,7.7,20
Ireland,7.2,18
Italy,6.5,17
Japan,6.3,16
Korea,6.2,17
Luxembourg,7.4,15
Mexico,5.6,16
Netherlands,7.4,19
New Zealand,7.4,18
Norway,7.3,19
Poland,6,18
Portugal,5.6,17
Slovak Republic,6.6,16
Spain,6.6,18
Sweden,7.3,20
Switzerland,7.5,17
TÃ¼rkiye,5.4,18
United Kingdom,6.9,17
United States,7.1,18
Brazil,6,16
Chile,6.1,18
Estonia,6.6,18
Israel,7.2,16
Latvia,6.2,19
Russia,5.6,17
Slovenia,6.4,19
South Africa,5,
